customer_id,first,last,email,street,city,state,zip_code,birthdate,payment
1,Jody,Willatts,jwillatts0@wordpress.com,61293 Karstens Avenue,Miami,Florida,33164,1962-10-04,mastercard
2,Ginger,McGinny,gmcginny1@hhs.gov,107 Golf View Road,Orange,California,92668,1946-08-24,mastercard
3,Raymund,Postlethwaite,rpostlethwaite2@nasa.gov,787 Kedzie Place,West Palm Beach,Florida,33411,1930-10-02,mastercard
4,Amerigo,Glass,aglass3@blinklist.com,922 Fordem Street,Anaheim,California,92825,1991-06-30,mastercard
5,Therese,Christmas,tchristmas4@1und1.de,5977 Rockefeller Crossing,Homestead,Florida,33034,1968-10-08,mastercard
6,Lizette,Manjin,lmanjin5@java.com,3727 High Crossing Road,Pensacola,Florida,32511,1997-12-19,mastercard
7,Florella,Goodband,fgoodband6@ning.com,9830 Delladonna Point,Saint Augustine,Florida,32092,1994-06-21,visa
8,Garrot,Reeman,greeman7@wufoo.com,671 Kim Junction,Riverside,California,92505,1950-03-11,mastercard
9,Matilde,Skottle,mskottle8@nydailynews.com,29 Hauk Circle,Fort Lauderdale,Florida,33330,1950-04-10,mastercard
10,Gaile,Markie,gmarkie9@usda.gov,5614 Melody Court,Fort Myers,Florida,33913,1944-07-12,visa
11,Tadeo,Flacke,tflackea@cam.ac.uk,95393 Almo Alley,Minneapolis,Minnesota,55441,1996-05-26,mastercard
12,Lisabeth,Gunning,lgunningb@csmonitor.com,6861 Utah Road,Los Angeles,California,90025,1994-04-16,mastercard
13,Goddart,Root,grootc@columbia.edu,6 Milwaukee Court,Augusta,Georgia,30911,1993-10-12,mastercard
14,Kinsley,Carnier,kcarnierd@hibu.com,26817 Rowland Plaza,Miami,Florida,33190,1988-01-27,mastercard
15,Doralin,Geeraert,dgeeraerte@histats.com,55 Holy Cross Terrace,San Francisco,California,94169,1971-01-30,mastercard
16,Rea,Ghelardoni,rghelardonif@chronoengine.com,27889 Melby Place,Minneapolis,Minnesota,55487,1968-11-05,mastercard
17,Branden,Huygens,bhuygensg@sogou.com,389 Arapahoe Lane,Milwaukee,Wisconsin,53234,1951-11-27,mastercard
18,Ibrahim,Tarver,itarverh@bizjournals.com,8 Sycamore Center,Los Angeles,California,90076,1995-07-31,visa
19,Umberto,Ferroni,uferronii@hc360.com,937 Brentwood Street,Miami,Florida,33180,1935-04-10,mastercard
20,Licha,Rantoul,lrantoulj@furl.net,90 Sachs Junction,Santa Ana,California,92725,1941-05-28,mastercard
21,Clayton,Bolte,cboltek@comcast.net,304 Nobel Parkway,Shreveport,Louisiana,71105,1940-01-26,mastercard
22,Clemence,Rosenbush,crosenbushl@dropbox.com,474 Spohn Pass,Tampa,Florida,33625,1949-09-15,mastercard
23,Thomasine,Grimstead,tgrimsteadm@marketwatch.com,14095 Alpine Street,Saint Paul,Minnesota,55127,1968-08-25,mastercard
24,Linnea,Bridat,lbridatn@tumblr.com,6826 Sherman Hill,Alexandria,Louisiana,71307,1980-08-03,mastercard
25,Augustin,Grennan,agrennano@mit.edu,3286 Becker Way,Birmingham,Alabama,35290,1988-03-29,mastercard
26,Perrine,McMorran,pmcmorranp@fema.gov,652 Shopko Circle,Pompano Beach,Florida,33069,1952-11-22,mastercard
27,Mora,Crowder,mcrowderq@people.com.cn,97 Independence Park,New Orleans,Louisiana,70124,1999-07-27,mastercard
28,Aaren,Kemm,akemmr@patch.com,4 Moose Plaza,Los Angeles,California,90060,1984-10-12,visa
29,Thomas,Pickford,tpickfords@twitter.com,33034 Cherokee Lane,Miami,Florida,33180,1992-03-13,mastercard
30,Alisander,Bridgnell,abridgnellt@networksolutions.com,753 Scott Road,Atlanta,Georgia,30386,1936-09-18,mastercard
